field_index,field_id,area_m2,normalized_label,year,geometry,label,label_index,label_value,predictions,confidence,n_pixels
1919,482d13eb-d5ec-47d8-b517-f71d9d365d47,32116.140148733808,corn_silage,2022,"POLYGON ((1.739731 49.497525, 1.739906 49.497425, 1.74118 49.498159, 1.739953 49.499587, 1.739735 49.49992, 1.73967 49.499886, 1.739339 49.49967, 1.738963 49.499368, 1.738423 49.498915, 1.738191 49.498708, 1.738027 49.498547, 1.738035 49.498484, 1.739731 49.497525))",Silage Corn,21,,,,
2041,25a0ea61-07fa-40f9-9bc3-ad99be3f2c84,57056.40497331183,corn_silage,2022,"POLYGON ((1.768405 49.756903, 1.768041 49.760692, 1.765569 49.760597, 1.765588 49.760565, 1.765693 49.760394, 1.765826 49.760209, 1.766005 49.759938, 1.766166 49.759676, 1.766288 49.759482, 1.766392 49.759276, 1.766443 49.759158, 1.766461 49.758991, 1.766476 49.758835, 1.766501 49.758578, 1.766514 49.758324, 1.766475 49.758138, 1.766466 49.75804, 1.766444 49.757948, 1.766406 49.757797, 1.766398 49.757652, 1.766371 49.757564, 1.766402 49.757505, 1.766461 49.75747, 1.766567 49.757347, 1.766765 49.757204, 1.76706 49.756993, 1.767306 49.75682, 1.767658 49.756845, 1.768028 49.756875, 1.768405 49.756903))",Silage Corn,21,,,,
2347,c56ed57a-2553-41cd-b2ee-f6865b4ce113,46558.91491997019,corn_silage,2022,"POLYGON ((1.697833 49.699074, 1.697846 49.699066, 1.698355 49.69891, 1.698824 49.698826, 1.6993 49.698772, 1.699399 49.698854, 1.700223 49.699536, 1.700556 49.699823, 1.700815 49.700011, 1.701003 49.700159, 1.701197 49.700328, 1.701427 49.700489, 1.701642 49.700657, 1.701859 49.70083, 1.701911 49.700892, 1.701917 49.700937, 1.701153 49.701166, 1.700342 49.700737, 1.700017 49.700578, 1.699464 49.700239, 1.69921 49.700363, 1.698854 49.700585, 1.698601 49.70045, 1.6984 49.700566, 1.698085 49.700708, 1.696566 49.6997, 1.696938 49.699538, 1.697524 49.69925, 1.697833 49.699074))",Silage Corn,21,,,,
2356,cbfb05c5-fb56-4bdb-ba73-5f9154cb0ae3,56490.50901847749,corn_silage,2022,"POLYGON ((1.73129 49.549393, 1.731416 49.549481, 1.73146 49.549532, 1.731192 49.549573, 1.731081 49.549589, 1.730514 49.549684, 1.730224 49.549715, 1.729307 49.549782, 1.728577 49.549862, 1.728234 49.549871, 1.727826 49.549854, 1.727269 49.549877, 1.727099 49.549897, 1.726936 49.549919, 1.726837 49.549618, 1.726437 49.548439, 1.726398 49.548305, 1.726615 49.548254, 1.728839 49.547718, 1.729151 49.547899, 1.729457 49.548096, 1.730151 49.548604, 1.730816 49.549063, 1.73129 49.549393))",Silage Corn,21,,,,
2408,d6215482-73b4-401a-a12d-c1475acd97af,17562.398543317006,corn_silage,2022,"POLYGON ((1.69297 49.697691, 1.693351 49.697449, 1.693414 49.697398, 1.693515 49.697323, 1.693658 49.697216, 1.693938 49.69733, 1.69563 49.698071, 1.695101 49.698333, 1.695084 49.698324, 1.695081 49.698328, 1.694814 49.698469, 1.69482 49.698472, 1.696546 49.699671, 1.696259 49.699796, 1.694604 49.698639, 1.694141 49.698322, 1.6931 49.697761, 1.69297 49.697691))",Silage Corn,21,,,,
2424,2f6adc45-e0c9-4191-89cb-7e8e0263d60f,14126.429565628852,corn_silage,2022,"POLYGON ((1.737566 49.519927, 1.737588 49.520057, 1.73772 49.52039, 1.737789 49.520558, 1.737913 49.520889, 1.737953 49.521023, 1.737974 49.521143, 1.737989 49.521317, 1.737987 49.521513, 1.737879 49.521502, 1.737734 49.521484, 1.737567 49.521453, 1.737412 49.521412, 1.737178 49.52135, 1.736867 49.521274, 1.736573 49.52121, 1.736268 49.521155, 1.736095 49.521121, 1.735988 49.521104, 1.735917 49.521096, 1.737227 49.520037, 1.737422 49.51989, 1.737528 49.519816, 1.737544 49.519828, 1.737566 49.519927))",Silage Corn,21,,,,
2509,0e034be6-7214-420d-86dc-8352fccdb57c,59902.39131169154,corn_silage,2022,"POLYGON ((1.746359 49.53905, 1.744898 49.535592, 1.745499 49.535045, 1.745519 49.53503, 1.745523 49.535031, 1.746364 49.535182, 1.746936 49.535635, 1.74724 49.53609, 1.747465 49.536623, 1.748217 49.538558, 1.74824 49.538597, 1.747931 49.538657, 1.746566 49.538986, 1.746436 49.539021, 1.746359 49.53905))",Silage Corn,21,,,,
2706,0d81c69f-2db5-4555-bd5b-20796464ac9d,40766.82653765228,corn_silage,2022,"POLYGON ((1.704941 49.704576, 1.704347 49.70478, 1.70414 49.704544, 1.703452 49.70477, 1.703664 49.705079, 1.70333 49.705165, 1.703326 49.705177, 1.70244 49.705432, 1.702439 49.705432, 1.701926 49.704732, 1.701695 49.704734, 1.701687 49.704722, 1.701616 49.704629, 1.701473 49.704446, 1.701376 49.704323, 1.701242 49.70415, 1.701008 49.703847, 1.700937 49.703753, 1.700938 49.703754, 1.701248 49.703653, 1.701244 49.703638, 1.701226 49.703612, 1.701193 49.703557, 1.702245 49.703416, 1.702359 49.703502, 1.702364 49.703503, 1.702362 49.7035, 1.702853 49.703312, 1.703342 49.70314, 1.703864 49.703044, 1.704349 49.703451, 1.703873 49.703786, 1.704509 49.704261, 1.704717 49.704243, 1.704941 49.704576))",Silage Corn,21,,,,
6709,6c92458b-9ce8-47cb-96dd-cea8fabc1c1a,2041.4446448594808,fallow,2022,"POLYGON ((2.338261 50.35606, 2.343024 50.358438, 2.342983 50.35847, 2.338224 50.356097, 2.338261 50.35606))",Fallow,28,,,,
7306,be01c5ab-f2ca-4f7a-8256-ad345e85f65a,2232.962150244393,fallow,2022,"POLYGON ((2.057449 50.040133, 2.057478 50.040158, 2.055617 50.040087, 2.055355 50.04013, 2.055244 50.039958, 2.055518 50.039945, 2.055791 50.039944, 2.056392 50.03998, 2.056823 50.040021, 2.057159 50.040038, 2.057312 50.040039, 2.057449 50.040133))",Fallow,28,,,,
8572,878470cb-3c8f-41fd-a1b4-d61db8c75f09,3669.371563885582,fallow,2022,"POLYGON ((2.070855 50.056436, 2.071014 50.05654, 2.070998 50.056569, 2.070967 50.056578, 2.070933 50.056578, 2.070616 50.056529, 2.070218 50.05649, 2.069794 50.056473, 2.069307 50.05652, 2.06909 50.056531, 2.068887 50.056549, 2.068676 50.056554, 2.068468 50.056552, 2.067878 50.056578, 2.067586 50.056584, 2.067301 50.056582, 2.067041 50.056569, 2.066781 50.056547, 2.06659 50.05653, 2.066604 50.056397, 2.068072 50.056429, 2.069646 50.05636, 2.069993 50.056351, 2.07034 50.056368, 2.070827 50.056417, 2.070855 50.056436), (2.068083 50.056525, 2.068848 50.05649, 2.069794 50.056445, 2.07058 50.056477, 2.070577 50.056427, 2.069798 50.0564, 2.069152 50.056431, 2.068084 50.056482, 2.066966 50.056454, 2.066954 50.056509, 2.068083 50.056525))",Fallow,28,,,,
8847,e2e8f111-2841-4882-8b7d-a18c951edc54,3207.3806109106627,fallow,2022,"POLYGON ((2.12927 50.08099, 2.126993 50.081087, 2.126958 50.08089, 2.127082 50.080881, 2.127781 50.080854, 2.128033 50.080856, 2.128427 50.080859, 2.128746 50.080861, 2.12927 50.080867, 2.12927 50.08099))",Fallow,28,,,,
8879,8638c1e8-8966-40bb-88b4-6fd89b23463c,2100.4170706222194,fallow,2022,"POLYGON ((1.914875 50.040628, 1.914979 50.040595, 1.916976 50.042626, 1.916887 50.042661, 1.914875 50.040628))",Fallow,28,,,,
9256,4f2044b3-146f-4e62-bf22-d367381dd2f1,34505.988117175744,alfalfa,2022,"POLYGON ((1.72266 49.405713, 1.722615 49.405711, 1.72225 49.405695, 1.720897 49.405774, 1.720528 49.405796, 1.720294 49.40581, 1.720007 49.405304, 1.721192 49.405018, 1.721724 49.403549, 1.721323 49.403264, 1.721233 49.40309, 1.72134 49.403094, 1.721515 49.403092, 1.721612 49.403212, 1.721659 49.403247, 1.721803 49.403361, 1.721944 49.403417, 1.722615 49.403651, 1.7234 49.403936, 1.722822 49.404938, 1.722881 49.404965, 1.722704 49.405715, 1.72266 49.405713))",Alfalfa,3,,,,
9358,320b96dd-b015-43c8-a1ec-226c7d66d078,10524.017062803805,alfalfa,2022,"POLYGON ((1.757251 49.505556, 1.75785 49.506224, 1.757852 49.506228, 1.758375 49.506785, 1.758158 49.506871, 1.758067 49.506907, 1.758421 49.507502, 1.758188 49.507547, 1.758018 49.507581, 1.757715 49.507641, 1.757608 49.507105, 1.757532 49.506925, 1.757384 49.506625, 1.757141 49.506271, 1.757088 49.506132, 1.757065 49.505716, 1.757059 49.505633, 1.757039 49.50532, 1.757053 49.505336, 1.757251 49.505556))",Alfalfa,3,,,,
11955,61049647-0b51-4616-88f7-fcbbbe0989b8,56457.00343308986,wheat_winter,2022,"POLYGON ((1.70642 49.23435, 1.70643 49.23431, 1.706391 49.234273, 1.706468 49.233953, 1.7067 49.23339, 1.706894 49.232907, 1.70698 49.232641, 1.707096 49.232381, 1.707271 49.231759, 1.707276 49.231407, 1.707327 49.23113, 1.708027 49.231115, 1.708657 49.231099, 1.708766 49.231543, 1.708876 49.232187, 1.709001 49.232551, 1.709282 49.233011, 1.709609 49.233618, 1.709798 49.234047, 1.7065 49.23442, 1.70642 49.23435))",Winter Wheat,7,,,,
11956,dc7d42a3-3a84-4556-b02b-779108fdcc07,44946.063333803875,wheat_winter,2022,"POLYGON ((1.735759 49.226367, 1.736874 49.226343, 1.738835 49.226299, 1.740298 49.226265, 1.740265 49.226372, 1.740218 49.226511, 1.740118 49.226754, 1.739971 49.227105, 1.739938 49.227194, 1.7399 49.227313, 1.739252 49.227335, 1.73771 49.227388, 1.73653 49.227423, 1.736164 49.227434, 1.73498 49.227464, 1.734873 49.227022, 1.734849 49.226708, 1.734804 49.226394, 1.734974 49.226384, 1.735759 49.226367))",Winter Wheat,7,,,,
11957,91259522-ece6-4431-b30f-b6c12adcd45c,35344.77846717927,wheat_winter,2022,"POLYGON ((1.733237 49.22654, 1.732307 49.225789, 1.731729 49.225658, 1.731324 49.22526, 1.73111 49.224947, 1.731057 49.224798, 1.731 49.224594, 1.73095 49.224465, 1.73092 49.22435, 1.731527 49.224342, 1.732669 49.224327, 1.734786 49.226391, 1.734802 49.226462, 1.733237 49.22654))",Winter Wheat,7,,,,
11960,b26e068f-f3ad-420d-9c7c-29304b4aaee4,25667.73016696598,wheat_winter,2022,"POLYGON ((1.725951 49.230824, 1.72574 49.230581, 1.72563 49.230492, 1.725434 49.230338, 1.725241 49.230209, 1.72501 49.230055, 1.72495 49.230016, 1.725505 49.229873, 1.725291 49.229602, 1.725298 49.229575, 1.725312 49.229566, 1.725353 49.229554, 1.725845 49.229532, 1.726459 49.229515, 1.727153 49.229531, 1.728487 49.229565, 1.728546 49.230028, 1.728562 49.230144, 1.728532 49.230157, 1.72758 49.230418, 1.725992 49.230867, 1.725951 49.230824))",Winter Wheat,7,,,,
12019,69412d3e-821a-4d47-aaa9-4b70ba25e19f,15519.609883493456,wheat_winter,2022,"POLYGON ((1.795335 49.28027, 1.796408 49.279707, 1.797043 49.280237, 1.797564 49.280602, 1.797565 49.280603, 1.797601 49.280628, 1.797837 49.280741, 1.79796 49.280796, 1.798152 49.280882, 1.798369 49.28098, 1.798792 49.281156, 1.798799 49.281158, 1.798899 49.281193, 1.799221 49.281306, 1.799343 49.281347, 1.799645 49.281419, 1.799581 49.281492, 1.799358 49.281572, 1.798838 49.281389, 1.798722 49.281343, 1.798161 49.281151, 1.797553 49.28097, 1.796777 49.280845, 1.796687 49.28083, 1.796593 49.280815, 1.796263 49.280757, 1.796006 49.280637, 1.795844 49.280555, 1.795335 49.28027))",Winter Wheat,7,,,,
12062,0a6e44d0-d7b2-4591-a6e6-b29d06a1143d,95743.43460426803,wheat_winter,2022,"POLYGON ((1.786786 49.291434, 1.786453 49.291468, 1.786117 49.291531, 1.785655 49.291693, 1.785096 49.291968, 1.785396 49.292185, 1.784681 49.292582, 1.7844 49.29276, 1.784132 49.293043, 1.783859 49.293506, 1.783473 49.294164, 1.783237 49.294582, 1.783063 49.295482, 1.782968 49.296, 1.782876 49.296032, 1.782529 49.295926, 1.782504 49.2959, 1.782679 49.294658, 1.782786 49.294126, 1.782805 49.293964, 1.782663 49.293961, 1.782249 49.293947, 1.78202 49.29394, 1.781664 49.293891, 1.7814 49.293824, 1.781611 49.292775, 1.781837 49.291964, 1.78196 49.291056, 1.782244 49.291054, 1.782236 49.290659, 1.782329 49.290439, 1.782425 49.290221, 1.782803 49.290246, 1.782845 49.290236, 1.786793 49.29143, 1.786786 49.291434))",Winter Wheat,7,,,,
12117,4dc15a98-b4f5-4785-b0ae-065fa9ec3ad8,62402.914217672034,wheat_winter,2022,"POLYGON ((1.778449 49.291102, 1.778222 49.291589, 1.777967 49.29208, 1.780412 49.292514, 1.780181 49.293218, 1.780065 49.293645, 1.77997 49.293691, 1.779936 49.293746, 1.779956 49.293782, 1.779976 49.29386, 1.779882 49.294464, 1.777435 49.293837, 1.777347 49.293998, 1.77623 49.293708, 1.776039 49.29363, 1.777829 49.290938, 1.778449 49.291102))",Winter Wheat,7,,,,
12210,0794b13a-d0e6-47e1-9eed-3206102eadd6,80006.13543303378,wheat_winter,2022,"POLYGON ((1.787188 49.493013, 1.78695 49.49294, 1.786394 49.492776, 1.786122 49.492699, 1.785978 49.492655, 1.785849 49.492611, 1.785771 49.492577, 1.785579 49.492456, 1.785369 49.49233, 1.78517 49.492215, 1.784939 49.492082, 1.784425 49.491772, 1.784396 49.491741, 1.784394 49.491636, 1.784456 49.491319, 1.784515 49.491198, 1.784547 49.491137, 1.784592 49.49109, 1.784717 49.490977, 1.784812 49.490832, 1.784878 49.490721, 1.785156 49.490612, 1.78608 49.490547, 1.787952 49.490406, 1.787973 49.490429, 1.787667 49.490863, 1.787901 49.490961, 1.788125 49.49105, 1.788352 49.491152, 1.788788 49.49138, 1.789223 49.49161, 1.78967 49.491836, 1.789556 49.491961, 1.78996 49.492194, 1.789301 49.492707, 1.789228 49.492714, 1.788804 49.493066, 1.78844 49.493407, 1.788292 49.493343, 1.787915 49.493209, 1.787437 49.493086, 1.787188 49.493013))",Winter Wheat,7,,,,
12301,cea43d3e-0d30-4315-88a3-6e012591f401,54432.77613424172,wheat_winter,2022,"POLYGON ((1.736594 49.409191, 1.736009 49.40898, 1.736253 49.408321, 1.736274 49.408285, 1.735835 49.40812, 1.735567 49.408767, 1.733704 49.407869, 1.734049 49.407324, 1.734385 49.407313, 1.73479 49.407107, 1.737265 49.408087, 1.73822 49.407586, 1.738497 49.407646, 1.740124 49.406851, 1.740496 49.407111, 1.737325 49.409488, 1.736594 49.409191))",Winter Wheat,7,,,,
12344,afe65340-f69d-4e17-ace9-c328cad2fc39,32606.131776434842,wheat_winter,2022,"POLYGON ((1.792022 49.274648, 1.792023 49.275343, 1.79373 49.27529, 1.793733 49.27572, 1.793751 49.276005, 1.793751 49.276017, 1.793774 49.276321, 1.793775 49.276336, 1.79378 49.276388, 1.793782 49.276546, 1.793782 49.276572, 1.793798 49.276619, 1.79385 49.276768, 1.793872 49.276804, 1.793948 49.276927, 1.794009 49.277026, 1.79408 49.277129, 1.794094 49.277162, 1.794101 49.277179, 1.794229 49.277481, 1.794175 49.277447, 1.794175 49.277445, 1.793917 49.277277, 1.793646 49.277063, 1.793603 49.277029, 1.793316 49.27681, 1.792933 49.276516, 1.792735 49.276368, 1.791892 49.275713, 1.791131 49.275153, 1.790811 49.274981, 1.790415 49.274816, 1.789783 49.274602, 1.78977 49.274597, 1.789702 49.274577, 1.789546 49.274531, 1.789008 49.274359, 1.789093 49.274308, 1.790401 49.27427, 1.791189 49.274328, 1.791897 49.2744, 1.791894 49.274421, 1.791894 49.274427, 1.791895 49.274459, 1.791899 49.274524, 1.791928 49.274573, 1.791957 49.274623, 1.792022 49.274648))",Winter Wheat,7,,,,
12506,0516fe39-210b-4b8e-9017-7366aa51ef78,92866.98296322927,wheat_winter,2022,"POLYGON ((1.766357 49.264849, 1.758884 49.263939, 1.758884 49.263938, 1.758963 49.263157, 1.759025 49.262785, 1.760162 49.262905, 1.761297 49.263011, 1.761303 49.262888, 1.76131 49.262888, 1.761884 49.262935, 1.761859 49.262216, 1.761848 49.261857, 1.761837 49.261496, 1.761896 49.261541, 1.761951 49.26158, 1.762357 49.261897, 1.762908 49.262285, 1.763153 49.262412, 1.764406 49.263144, 1.764546 49.263217, 1.767255 49.264418, 1.767286 49.264447, 1.766637 49.264716, 1.766651 49.264748, 1.766357 49.264849))",Winter Wheat,7,,,,
12577,64c339a6-1b2a-403f-989b-c4825749eddd,6065.357206963152,wheat_winter,2022,"POLYGON ((1.761366 49.261502, 1.761727 49.261462, 1.761782 49.261459, 1.761818 49.261482, 1.761834 49.261495, 1.761882 49.262935, 1.761303 49.262887, 1.761366 49.261502))",Winter Wheat,7,,,,
17461,89d8bb59-11b3-486c-9fe9-75a7a20d33fd,2792.2903052901074,fallow,2022,"POLYGON ((2.807149 49.249135, 2.804253 49.249177, 2.804241 49.249117, 2.804239 49.249072, 2.805069 49.249037, 2.805565 49.249023, 2.806021 49.249017, 2.806789 49.249014, 2.806916 49.24906, 2.807003 49.249093, 2.807149 49.249135))",Fallow,28,,,,
17772,90fa96ef-c273-40a4-bf6b-5b1b489a31db,2347.512650708838,fallow,2022,"POLYGON ((2.281047 49.258549, 2.2791 49.258559, 2.279131 49.258441, 2.279554 49.258418, 2.280121 49.258398, 2.28063 49.258392, 2.281132 49.258401, 2.281047 49.258549))",Fallow,28,,,,
18046,68930731-a11d-4c76-8f3e-7472da6c2ba2,4592.190702905809,fallow,2022,"POLYGON ((1.775437 49.289966, 1.777008 49.29032, 1.776667 49.290631, 1.775259 49.290298, 1.775437 49.289966))",Fallow,28,,,,
