field_index,label_value,predictions,confidence
216,30,28,[30 34 44 48]
217,30,4,[27 28 31 39 44]
218,30,7,[21 23 29 37 44 58 61]
219,30,7,[37 38 54 58]
220,30,21,24
221,30,4,[39 50]
222,30,28,38
223,30,4,46
224,30,28,[21 25 31 32 35 36 37 48 51 54]
225,30,28,29
226,30,28,[29 32 41 45 52]
227,30,28,50
228,30,[2 4 5],[20 35 39]
229,30,4,[30 39 41 46 51 59]
230,30,4,[29 30]
231,30,22,[31 37 38 41]
232,30,8,47
233,30,28,[18 31 42 43 73]
234,30,28,59
235,30,28,29
236,30,28,[25 31 32 33 36 41]
237,30,4,[48 62]
238,30,4,29
239,30,7,34
240,30,4,[23 27 28 38]
241,30,28,43
242,30,28,64
243,30,28,[48 51]
244,30,4,[30 38]
245,30,28,32
246,30,28,[40 43 51 56 57 59 60 63 64]
247,30,21,[38 45 50 54]
248,30,4,[25 30 42]
249,30,21,[31 33 35 39 41 46 50 51]
250,30,[15 22],[26 28 29 31 34 42 89]
251,30,21,44
252,30,28,47
253,30,28,[22 27 28 48]
254,30,7,[20 21 23]
255,30,0,[34 37 41]
256,30,28,28
257,30,[ 4 20 21 23],[13 18 28 45]
258,30,28,[24 25 28 29 31 32 33 34 41 62 77 86]
259,30,28,[40 43]
260,30,7,[25 27 33 34 39 45 49]
261,30,21,37
262,30,28,[24 28 34 42 47]
263,30,28,[22 27 29 31 33 35 36 38 42 44 45 46 48 51 53 63]
264,30,28,21
265,30,4,[25 30]
266,30,28,47
267,30,0,[27 41]
268,30,28,[26 28 29 35 41 42 43 48 49 51]
269,30,5,[18 19 21 29 36 37 68]
270,30,21,56
271,30,[ 4 28],[28 33 41 44 49 51 56]
272,30,15,25
273,30,[23 28],21
274,30,28,[24 26 28 29 30 54 56]
275,30,28,[39 42 44]
276,30,[ 4 28],[25 40]
277,30,[ 5 21],[18 23 30 36 38 41]
278,30,4,[27 28 33 37 40]
279,30,4,25
280,30,4,[30 40 41]
281,30,28,[19 21 24 25 27 28 29]
282,30,7,34
283,30,4,[31 33]
284,30,[ 2 28],32
285,30,0,[39 40 41]
286,30,23,[18 27 30 64]
287,30,28,[16 27 31 33 40 44 59]
288,30,28,33
289,30,6,[26 29 30 36]
290,30,28,[28 32 38 43 46 53 58]
291,30,28,[33 38 44 45 46 47 48]
292,30,21,[23 26 27]
293,30,28,[30 33]
294,30,[19 28],[38 46 49 64 65 68]
295,30,[ 4 21],32
296,30,7,36
297,30,28,[20 24 32 33 38]
298,30,5,[33 34 57 72]
299,30,28,[27 32 35 36 37 41]
300,30,28,[14 28 31 36]
301,30,28,38
302,30,22,[25 31]
303,30,28,[20 33 34 35 36 50 55]
304,30,21,[25 26]
305,30,28,[35 53 54]
306,30,4,[39 46 54]
307,30,28,36
308,30,4,53
309,30,21,20
310,30,[ 3 23],26
311,30,28,[18 20 22 24 26 28 29 30 31 33 35 36 42 46 48]
312,30,7,34
313,30,28,31
314,30,28,[34 39 40 50 51 55 56 57 60 65 66]
315,30,28,26
316,30,4,24
317,30,3,[19 24 25 29 35 43 50]
318,30,21,39
319,30,28,[25 39 53 54 63]
320,30,28,63
321,30,28,[31 32 40 56]
322,30,25,[30 39]
323,30,21,[28 33 36 41]
324,30,28,28
325,30,4,39
326,30,21,[33 50]
327,30,4,[51 52]
328,30,21,47
329,30,28,32
330,30,0,[29 36 41 46 47 52 57 62 63 66]
331,30,4,17
332,30,4,[42 63]
333,30,28,29
334,30,7,[24 29 33 47 58]
335,30,28,47
336,30,21,[23 28]
337,30,[ 3 19 28],[30 34 52]
338,30,28,[23 33]
339,30,0,[70 71 74]
340,30,21,64
341,30,21,43
342,30,21,35
343,30,19,[18 29]
344,30,28,[18 24 31 33]
345,30,21,33
346,30,21,30
347,30,21,23
348,30,4,[26 35]
349,30,21,26
350,30,28,74
351,30,7,28
352,30,28,[34 41]
353,30,4,[27 43 45 50]
354,30,28,30
355,30,28,[32 41]
356,30,28,[34 39]
357,30,4,33
358,30,7,[15 18 20 23 26 32 39 40 45 65]
359,30,[ 4 21 28],26
360,30,28,[23 24 32 52]
361,30,4,[27 31 32 34]
362,30,28,35
363,30,16,[16 22 27]
364,30,28,[25 26]
365,30,6,[34 35 39 50 59]
366,30,5,[22 32 41]
367,30,28,[15 25 27 34 35]
368,30,28,49
369,30,7,[19 20 23 50]
370,30,23,[18 20 21]
371,30,28,[36 41]
372,30,28,34
373,30,28,40
374,30,28,[24 32 49]
375,30,28,[24 29]
376,30,[21 28],[30 38]
377,30,21,22
378,30,21,53
379,30,28,[53 55 69]
380,30,[ 4  5 19 28],[25 29 35 41]
381,30,[21 28],34
382,30,[21 23],[20 29 31 36 43 67]
383,30,28,32
384,30,28,[37 44 49]
385,30,4,45
386,30,[23 28],[18 21 29]
387,30,21,26
388,30,21,[47 55]
389,30,28,[35 38]
390,30,28,28
391,30,28,31
392,30,4,38
393,30,28,[25 29 31 35]
394,30,28,[33 35 37 39]
395,30,8,31
396,30,28,23
397,30,21,44
398,30,28,37
399,30,4,[31 35 40 52 60]
400,30,4,[37 42 44 45 46 48 55]
401,30,8,36
402,30,28,[46 47]
403,30,21,[46 58]
404,30,4,24
405,30,16,[30 31]
406,30,28,41
407,30,21,44
408,30,28,[20 27 34]
409,30,4,34
410,30,21,39
411,30,20,[22 34]
412,30,[4 7],47
413,30,0,[33 48 51 58]
414,30,7,[28 30]
415,30,7,[27 32 39]
416,30,21,31
417,30,4,32
418,30,28,[36 39 42 47 51 57]
419,30,[21 28],[27 32 33 63]
420,30,28,[20 23 29 30 31 33 36 37 41 42 45 47]
421,30,28,45
422,30,4,37
423,30,[ 4 21],[35 65]
424,30,4,39
425,30,28,27
426,30,28,39
427,30,4,41
428,30,4,[22 25 36 43]
429,30,[ 4 28],30
430,30,4,52
431,30,7,50
432,30,7,[22 30 34 36 42 45 47]
433,30,4,[25 30 31 36 37 40]
434,30,[ 5  7 28],29
435,30,0,[33 40 51 54]
436,30,21,57
437,30,[ 4 28],44
438,30,21,40
439,30,4,25
440,30,28,37
441,30,21,35
442,30,21,37
443,30,4,[20 27 29 31 33 47 61]
444,30,28,[39 40 41 42 45 46 54 55 61]
445,30,28,29
446,30,28,[42 52]
447,30,21,[31 47]
448,30,28,[18 24 32]
449,30,28,41
450,30,4,[32 46 55 57]
451,30,21,53
452,30,21,23
453,30,21,[31 41]
454,30,28,[20 24 26]
455,30,28,[30 39]
456,30,4,[48 54 60]
457,30,21,[26 27 33 35]
458,30,7,[44 49]
459,30,28,[35 38 41 58 59 63]
460,30,0,[34 46]
461,30,4,28
462,30,4,[25 36]
463,30,16,[29 36 54 56 58 61 70]
464,30,7,[21 22 23 28 36 39 41 43]
465,30,28,42
466,30,28,[22 27 32 38]
467,30,3,[21 23 24 32 35]
468,30,[ 4 28],[26 29]
469,30,4,55
470,30,28,33
471,30,4,[49 57]
472,30,4,[25 28 36 38 39 48]
473,30,28,[21 25 26 36]
474,30,4,27
475,30,28,53
476,30,4,53
477,30,28,34
478,30,21,41
479,30,28,[37 42 44 50]
480,30,28,[33 37]
481,30,28,[33 40]
482,30,28,27
483,30,28,[40 50 55]
484,30,21,52
485,30,28,[29 32 39 48 50]
486,30,28,29
487,30,[ 4 25 28],[22 26 27 34 35 38 44 52 66]
488,30,0,[32 40 41 44 62]
489,30,28,40
490,30,21,28
491,30,28,35
492,30,28,[27 48]
493,30,28,[27 40 41 43 49 50 60 62 63]
494,30,7,49
495,30,[ 7 16 21],[20 22]
496,30,[ 4 28],[30 38 48]
497,30,4,[18 22 25 28 29 30 38 64]
498,30,28,[44 58]
499,30,21,[24 35 41 45]
500,30,4,33
501,30,7,[22 26 30 53 62 71]
502,30,0,48
503,30,0,[54 59]
504,30,28,32
505,30,28,[26 33 37 38 42 49 53 58 60]
506,30,4,48
507,30,4,45
508,30,4,44
509,30,21,60
510,30,28,53
511,30,21,[32 35]
512,30,21,[22 34 45 56]
513,30,28,39
514,30,[ 4 28],[17 50]
515,30,7,[29 33 42 50 51 70]
516,30,28,[21 26 28 33 51 52 59 63]
517,30,4,[34 40 43 45 48]
518,30,21,[27 31 32 35]
519,30,4,39
520,30,28,[28 35 45]
521,30,25,22
522,30,28,40
523,30,28,[29 65]
524,30,[ 7 21],[23 25 34 40 42]
525,30,2,[34 39]
526,30,4,[23 28 34 40 49]
527,30,[ 7 28],27
528,30,28,35
529,30,[ 4 21 28],[23 29 32]
530,30,7,[36 42]
531,30,28,28
532,30,3,[20 27 36 38 47]
533,30,21,[20 34 38]
534,30,28,33
535,30,[ 4 28],[20 25 29 30 31 35 57]
536,30,28,32
537,30,4,59
538,30,4,43
539,30,6,40
540,30,19,[23 34 39 48]
541,30,8,[44 50]
542,30,8,[36 40 45 46 57 59]
543,30,28,72
544,30,21,[17 21 29 44]
545,30,5,23
546,30,21,[33 36 49 63]
547,30,5,[25 74]
548,30,15,[14 16 17 23]
549,30,[5 8],[31 33 36 40 48 63]
550,30,28,45
551,30,28,36
552,30,4,[29 32 48 54 57 58 59]
553,30,25,24
554,30,7,48
555,30,28,[20 22 25 26]
556,30,19,27
557,30,28,[33 36 53]
558,30,21,[26 37]
559,30,28,[30 31 35 39 41 47 50 51 62]
560,30,21,[18 20 38]
561,30,4,53
562,30,22,26
563,30,28,[26 37 42 47 54 66]
564,30,28,58
565,30,28,20
566,30,28,[37 39]
567,30,21,[34 36 48 64]
568,30,28,36
569,30,4,55
570,30,21,43
571,30,25,[17 31 42 49 52 60]
572,30,28,[25 31 41 43]
573,30,28,[23 30 31 32 40 45]
574,30,28,54
575,30,4,[20 26 34 41 42 45 56]
576,30,21,[27 48]
577,30,28,[25 32 35 36 41 44 49]
578,30,4,23
579,30,28,[37 44 45]
580,30,28,18
581,30,28,[21 29 35]
582,30,[21 28],[30 32 34 35 36 37 38 39 40 41 45 56 65 66]
583,30,28,[26 37 43]
584,30,21,[24 25 39]
585,30,28,21
586,30,7,31
587,30,28,[38 54]
588,30,7,[33 50 52 59 63 65]
589,30,28,[29 37]
590,30,28,21
591,30,28,41
592,30,21,[59 60]
593,30,28,35
594,30,28,[39 49 52]
595,30,4,[25 26 28 34 35 38 46 48 52 73]
596,30,28,50
597,30,4,[42 43]
598,30,28,[34 37]
599,30,28,45
600,30,21,34
601,30,28,33
602,30,4,[17 20 23 35]
603,30,7,[62 71]
604,30,21,23
605,30,28,36
606,30,28,[31 40 42]
607,30,28,43
608,30,7,[33 34 37 41 50]
609,30,28,[28 36 39 40 44 52]
610,30,28,61
611,30,28,24
612,30,28,[49 58 59 62 65 69]
613,30,28,[36 38 42 46 48 53]
614,30,22,[19 28 36 42 47 48 50 51 53 65]
615,30,4,41
616,30,4,[32 33]
617,30,[ 0  4 28],[28 33 39 41 45 46]
618,30,28,35
619,30,28,[32 39 40 44 46 49]
620,30,4,[41 45 48 49 51 52]
621,30,4,29
622,30,28,[21 31 36 39 43 44 46 47 50]
623,30,0,37
624,30,28,44
625,30,0,34
626,30,4,55
627,30,0,28
628,30,0,31
629,30,28,43
630,30,4,50
631,30,0,[34 38]
632,30,0,52
633,30,4,[17 32 35 43 46 47 48 54 56 59]
634,30,4,[30 41 45]
635,30,0,[49 51 54 57 62]
636,30,28,[37 39 40 43 44 47 49]
637,30,4,29
638,30,4,46
639,30,3,29
640,30,4,33
641,30,0,[47 53]
642,30,0,48
643,30,4,48
644,30,0,[39 40 52 53]
645,30,0,49
646,30,28,32
647,30,0,[57 60 61 63 73]
648,30,[0 4],[34 37]
649,30,28,[29 34 37 40 42 45 46 48 49 50 57 64]
650,30,0,56
651,30,4,44
652,30,28,[35 41]
653,30,[ 5 28],33
654,30,31,[34 35 36 38]
655,30,28,37
657,30,28,23
658,30,28,35
659,30,[0 4],[28 33]
660,30,0,57
661,30,4,[31 36 49]
662,30,0,[29 37 39 41 45 47 49 56]
663,30,4,[42 48 49]
664,30,0,57
665,30,28,[30 37 47]
666,30,4,34
668,30,5,[28 33 47]
669,30,4,[41 52]
670,30,0,[33 36 54]
671,30,28,27
672,30,4,34
673,30,4,[32 33]
674,30,28,[23 27 39]
675,30,0,[33 34 37 39 41 42 46]
676,30,28,42
677,30,28,42
678,30,4,52
679,30,4,[47 49]
680,30,28,[37 38 58]
681,30,4,44
682,30,28,[37 42]
683,30,4,26
684,30,4,36
685,30,28,[38 39 50 51]
686,30,4,33
687,30,4,25
688,30,[0 4],[41 42 45 46 47 48 49]
689,30,28,[29 31]
690,30,4,[21 22 25 38 40 42 46 51]
691,30,28,31
692,30,4,27
693,30,4,35
694,30,28,40
695,30,4,32
696,30,28,[32 42]
697,30,28,30
698,30,4,42
699,30,28,30
700,30,28,[31 33]
701,30,[ 3 28],24
702,30,[ 4 28],[27 30 32 33 41 45]
703,30,28,26
704,30,28,34
705,30,4,19
706,30,0,53
707,30,4,[34 44 45]
708,30,4,37
709,30,3,49
710,30,4,41
711,30,0,[40 48 54]
712,30,4,[30 31]
713,30,28,25
714,30,28,38
715,30,28,[28 30 38 42 48 53 62]
716,30,28,[33 38]
717,30,28,[18 23 37 44 49]
718,30,4,[42 46 48 53 58]
719,30,28,27
720,30,28,31
721,30,4,35
722,30,0,[51 54]
723,30,28,28
724,30,28,31
725,30,4,[14 15 20 22 23 30]
726,30,4,[30 35 36 37 39 42]
727,30,28,33
728,30,28,33
729,30,28,[25 32]
730,30,28,[35 37]
731,30,4,[30 33]
732,30,28,29
733,30,28,35
734,30,7,23
735,30,4,30
736,30,4,35
737,30,28,[40 43]
738,30,28,32
739,30,28,[28 39 45]
740,30,7,56
741,30,28,49
742,30,28,[34 41 47 49 51 53 54]
743,30,28,19
744,30,28,27
745,30,4,37
746,30,28,37
747,30,28,29
748,30,28,[23 32 34 53]
749,30,28,[23 25]
750,30,28,28
751,30,28,[27 34 35]
752,30,28,24
753,30,28,[24 26 31 37 38 43 48 56]
754,30,28,44
755,30,28,[23 27 37 51 53]
756,30,28,[44 45]
757,30,28,39
758,30,28,29
759,30,28,[22 29 39]
760,30,4,[37 51 54]
761,30,28,[34 37 39 40 41]
762,30,4,[39 43 46]
763,30,4,37
764,30,21,[23 31]
765,30,[ 5 21],[15 28 30 36 38 40 42 46]
766,30,0,[32 49 56]
767,30,25,28
768,30,28,[29 36 39 42]
769,30,28,[33 37 43]
770,30,21,[20 21 28 43 45 48 49]
771,30,28,35
772,30,28,[21 28 33 34 36 41 43 44]
773,30,4,35
774,30,28,[33 35]
775,30,28,57
776,30,4,26
777,30,4,32
778,30,7,[24 26 28 33 46]
779,30,28,[25 27 29 39 43 48]
780,30,31,[17 23]
781,30,28,[31 35 43 45 47]
782,30,20,[35 43 58]
783,30,28,[24 29 30 39 64]
784,30,4,46
785,30,28,[26 31 33]
786,30,4,[35 39 41 44 57 62 69]
787,30,4,47
788,30,28,[21 33 36 42 46 52]
789,30,3,[23 43]
790,30,[ 6 28],[19 20 22 28 45]
791,30,0,73
792,30,0,[35 57 65 77 83]
793,30,28,[33 35]
794,30,[ 4 28],43
795,30,28,33
796,30,4,41
797,30,28,[22 23 25 36]
798,30,0,[36 38 40 51]
799,30,28,42
800,30,31,[31 36 37]
801,30,28,[22 26 32 36 37 41 42 46 54 62]
802,30,28,45
803,30,4,36
804,30,28,51
805,30,4,45
806,30,28,[22 32]
807,30,28,[37 40]
808,30,28,[45 47 50 54]
809,30,4,26
810,30,4,29
811,30,5,[19 28 46]
812,30,28,[35 46]
813,30,28,29
814,30,4,[42 46]
815,30,28,30
816,30,28,[22 24 29 31 43]
817,30,28,24
818,30,0,[27 38 39]
819,30,28,[27 38]
820,30,28,[35 38 41 44 56]
821,30,28,29
822,30,28,41
823,30,21,[25 29]
824,30,0,53
825,30,28,27
826,30,22,[29 37 59 68]
827,30,4,[25 30 33]
828,30,0,37
829,30,[3 4],[29 30 38 41]
830,30,0,31
831,30,4,29
832,30,28,[37 41]
833,30,28,40
834,30,21,21
835,30,4,[46 54 58]
836,30,28,34
837,30,28,[30 31]
838,30,4,[40 48 54]
839,30,28,[25 32 36]
840,30,28,[31 32 34 35 36 44]
841,30,4,[21 34 45]
842,30,28,48
843,30,0,[34 44]
844,30,28,44
845,30,4,26
846,30,21,[20 24 32]
847,30,4,[19 30 31 32 33 35 40]
848,30,0,35
849,30,22,22
850,30,28,[32 33 40 41 44 45 47]
851,30,25,51
852,30,17,[38 56 66 72]
853,30,28,22
854,30,4,[37 43]
855,30,[22 28],[35 37 45 48]
856,30,4,[27 29 31]
857,30,28,[34 36]
858,30,0,[35 61]
859,30,28,[30 45 49 64]
860,30,3,43
861,30,21,[19 29]
862,30,4,44
863,30,[ 0 28],[38 48 50]
864,30,4,47
865,30,4,44
866,30,28,52
867,30,4,28
868,30,21,31
869,30,28,31
870,30,28,26
871,30,28,44
872,30,0,84
873,30,4,29
874,30,28,32
875,30,4,[22 31]
876,30,28,[29 32 38 40]
877,30,4,[23 38]
878,30,0,41
879,30,4,28
880,30,4,42
881,30,0,42
882,30,28,[36 38 39]
883,30,21,24
884,30,28,[40 41 50 60]
885,30,[ 5 28],23
886,30,4,21
887,30,28,[42 43]
888,30,28,[35 39]
889,30,4,42
890,30,4,43
891,30,28,28
892,30,4,32
893,30,4,30
894,30,28,31
895,30,4,[50 53 54 61]
896,30,28,[20 21 29 31 34 35 37 43 58]
897,30,28,28
898,30,28,[23 25 27 38 40]
899,30,0,32
900,30,4,35
901,30,0,[31 34 48 53]
902,30,15,30
903,30,0,66
904,30,0,28
905,30,28,[31 42]
906,30,0,[31 40]
907,30,3,[40 41 46]
908,30,4,36
909,30,4,[27 29]
910,30,4,36
911,30,28,[26 27 28 31 36 38 40 46 50]
912,30,0,36
913,30,28,48
914,30,[ 0 28],[32 36]
915,30,4,[34 43]
916,30,4,60
917,30,0,74
918,30,28,36
919,30,4,42
920,30,28,27
921,30,4,[20 23 24 29]
922,30,17,[32 36 39 45 54 61 66]
923,30,28,[42 44]
924,30,28,40
925,30,4,28
926,30,4,27
927,30,31,61
928,30,28,32
929,30,28,[19 22 30 32 37]
930,30,28,[17 30 34 35 41 47]
931,30,4,[47 48 57]
932,30,21,25
933,30,3,49
934,30,28,[15 22 28 36 38]
935,30,3,45
936,30,21,24
937,30,0,[28 42]
938,30,28,34
939,30,19,[40 74]
940,30,28,[32 34 35 38]
941,30,28,[29 41]
942,30,28,[37 50]
943,30,28,[31 32 34]
944,30,28,40
945,30,4,[33 38]
946,30,0,78
947,30,3,[31 32]
948,30,23,80
949,30,4,49
950,30,28,21
951,30,4,34
952,30,4,[18 19 21 28 29 31 34 39 42 48 49 51 53 56]
953,30,25,25
954,30,4,43
955,30,4,36
956,30,22,[27 29 31 35 56]
957,30,4,[19 23 25 33 34 39 57 64]
958,28,28,36
959,28,20,57
960,28,0,52
961,28,[ 7 28],[43 53 55 63]
962,30,5,[22 23 25 27 28 31 34 39 40 46 48 52 55 60 61]
963,30,28,[26 31 32]
964,21,21,66
965,21,21,59
966,21,21,[58 59 62]
967,21,21,[58 60]
969,21,21,[27 64]
970,21,20,51
971,21,21,62
972,21,20,52
973,21,21,[40 45 49 53 54 58 59 64]
974,21,17,[37 44 47 61]
975,21,20,58
976,21,21,[42 50]
977,21,21,[20 46 52]
978,21,21,57
979,21,24,[20 31 32]
980,21,28,[24 29 30 34 41 49 62]
981,21,20,50
982,21,21,[32 45 46 50 55 58]
983,21,21,51
984,21,21,54
985,21,21,54
986,21,21,49
987,21,21,[48 54]
988,21,21,61
989,21,21,58
990,21,22,60
991,21,21,53
992,21,20,62
993,21,20,[48 49 50]
994,21,21,48
995,21,21,48
996,21,21,60
997,21,21,49
998,21,21,51
999,21,21,51
1000,21,28,34
1001,21,20,51
1002,21,5,28
1003,21,5,86
1004,21,21,[50 51]
1005,21,21,70
1006,21,21,63
1007,21,20,52
1008,21,21,[49 53]
1009,21,20,49
1010,21,21,[58 63]
1011,21,21,[55 58]
1012,21,21,[34 35 38 39 41 50 51 52 53 56 58 63]
1013,21,21,60
1014,21,20,66
1015,21,20,56
1016,21,21,62
1017,21,21,[63 65]
1018,21,20,55
1019,21,21,66
1020,21,21,[47 50]
1021,21,21,49
1022,21,20,59
1023,21,20,54
1024,21,20,55
1025,21,20,38
1026,21,21,67
1027,21,21,56
1028,21,21,40
1029,21,21,47
1030,21,21,52
1031,21,21,50
1032,21,20,[51 59 69]
1033,21,21,62
1034,21,21,[48 51 52 55]
1035,21,21,57
1036,21,20,[36 37 43 57 58 61]
1037,21,21,53
1038,21,20,[35 36 40]
1039,21,20,60
1040,21,21,[49 50 53 55 62]
1041,21,21,41
1042,21,20,64
1043,21,21,[60 61 63]
1044,21,21,52
1045,21,21,64
1046,21,21,64
1047,21,21,[62 66 69]
1048,21,21,[68 72]
1049,21,21,72
1050,21,20,50
1051,21,21,[58 61]
1052,21,21,[62 67 68]
1053,21,20,49
1054,21,20,30
1055,21,21,51
1056,21,20,[55 65]
1057,21,21,66
1058,21,21,52
1059,21,21,52
1060,21,21,[51 60]
1061,21,21,51
1062,21,20,50
1063,21,21,66
1064,21,20,49
1065,21,21,52
1066,21,21,[50 52]
1067,21,21,59
1068,21,21,[47 50]
1069,21,20,44
1070,21,21,[47 50]
1071,21,14,[40 49 59 62 70]
1072,21,20,52
1073,21,21,57
1074,21,21,54
1075,21,21,[41 52 56 57 68]
1076,21,20,58
1077,21,21,50
1078,21,21,48
1079,21,21,[46 51 56 57]
1080,21,21,53
1081,21,20,50
1082,21,21,52
1083,21,21,[56 60]
1084,21,20,51
1085,21,21,66
1086,21,21,59
1087,21,20,65
1088,21,20,48
1089,21,21,54
1090,21,21,[45 62]
1091,21,21,56
1092,21,21,62
1093,21,7,39
1094,21,20,[43 51 59]
1095,21,21,70
1096,21,21,30
1097,21,20,[51 55]
1098,21,21,[31 32 42 62]
1099,21,21,49
1100,21,21,61
1101,21,20,[52 55]
1102,21,21,[59 63 66]
1103,21,21,54
1104,21,21,52
1105,21,20,51
1106,21,21,[49 63]
1107,21,21,[48 49]
1108,21,21,[55 59]
1109,21,21,[34 50]
1110,21,21,67
1111,21,21,61
1112,21,21,59
1113,21,21,60
1114,21,21,51
1115,21,[5 7],53
1116,21,21,[40 46]
1117,21,4,39
1118,21,21,[59 62]
1119,21,20,[50 51 52]
1120,21,21,51
1121,21,20,35
1122,21,21,[66 67 72]
1123,21,21,54
